filename, Critical Defect, Major Defect, Minor Defect, No defect
IMG_20220925_154133_jpg.rf.094a1cedcd4c79620b4da6e615423b7c.jpg, 1, 0, 0, 0
IMG_20220929_154115_jpg.rf.0910499bf8d9783dad6c70e0bf4705d5.jpg, 0, 1, 0, 0
IMG_20221108_111207_jpg.rf.08e346f36ad99fd2738a65997757598a.jpg, 0, 0, 1, 0
IMG_20221108_111551_jpg.rf.094d81b2e10ff259a538f39739766f6a.jpg, 0, 0, 1, 0
IMG_20220924_011108_jpg.rf.08946906ce4c6363a9e4f44f1c8259c1.jpg, 0, 1, 0, 0
IMG_20221108_092635_1_jpg.rf.099a8999196a47e144100f699c25c89e.jpg, 0, 0, 0, 1
IMG_20220925_142007_jpg.rf.094f8498d56775b8c2d8eb5aea51aea2.jpg, 0, 1, 0, 0
IMG_20220923_230159_jpg.rf.08c7b8e20de81706fa96421949423d6e.jpg, 0, 1, 0, 0
IMG_20220929_124817_jpg.rf.095b8c1854d1a4a2252ab805ff791181.jpg, 1, 0, 0, 0
IMG_20221108_091753_jpg.rf.0996c6ca5022afc70f55d446b3047b3d.jpg, 0, 0, 0, 1
IMG_20220624_152756_jpg.rf.08ce5814ec04fe4b6c2bb01cea988f61.jpg, 0, 0, 0, 1
IMG_20220925_173400_jpg.rf.099731504bd58e214112573a129744e4.jpg, 0, 1, 0, 0
IMG_20220923_225850_jpg.rf.092a8b0b3e99b65d5f896ee8448192eb.jpg, 0, 1, 0, 0
IMG_20220923_230234_jpg.rf.08b0e54fc2134d4f5e6597740b0a468c.jpg, 0, 1, 0, 0
IMG_20220925_172811_jpg.rf.08c7ea7e03f19c613adf7760e7938f05.jpg, 0, 0, 1, 0
IMG_20220624_152846_jpg.rf.090bfacf6ae1c54efad9fa0a26a348ea.jpg, 0, 0, 0, 1
IMG_20221108_090115_jpg.rf.0991d3cde67ec495a74c75531a45f9f5.jpg, 0, 0, 0, 1
IMG_20220925_134958_jpg.rf.0895d551cfce2709242c58efdcc99456.jpg, 0, 1, 0, 0
IMG_20220709_193626_jpg.rf.08f65b1be140ad8ac3a1ece260eaa178.jpg, 1, 0, 0, 0
IMG_20220924_183733_jpg.rf.089d5d6aac3923a6f7059b429a4d210a.jpg, 0, 0, 1, 0
IMG_20220929_115611_jpg.rf.08e657d2cc2188854401234e4bf2ebff.jpg, 0, 1, 0, 0
IMG_20221108_112905_1_jpg.rf.08e3b027ea56e63d6bcd5f7cc3718270.jpg, 0, 0, 1, 0
IMG_20220929_171538_jpg.rf.08bc5c0d44b7a76610b56c23fffb706e.jpg, 1, 0, 0, 0
IMG_20221108_101904_jpg.rf.08eb710db1a2a54571cfb1676a4608dc.jpg, 0, 0, 0, 1
IMG_20220929_131119_jpg.rf.09c54b0b7a7a193a5cf4360198e302c5.jpg, 1, 0, 0, 0
IMG_20221108_101327_jpg.rf.09d9c10573330380faf5589ed243b6f1.jpg, 0, 0, 0, 1
IMG_20220924_192920_jpg.rf.093e2ff1d8a26a46d9d378ddc8e9108b.jpg, 1, 0, 0, 0
IMG_20221108_092954_jpg.rf.09c2dab96b058af2f35605dfdb0c6387.jpg, 0, 0, 0, 1
IMG_20220929_175425_jpg.rf.09aa5742c3cc426ef75b0ff477b29c38.jpg, 1, 0, 0, 0
IMG_20221108_091057_jpg.rf.09adc8e9e224c7096bb65e55cf74ec64.jpg, 0, 0, 0, 1
IMG_20220925_165418_jpg.rf.09a09927a83afce56bda14a8c3ac2194.jpg, 1, 0, 0, 0
IMG_20220925_135734_jpg.rf.09d065e4ddf79f46ec00cbabdb1087fa.jpg, 0, 1, 0, 0
IMG_20221108_113530_jpg.rf.09dae74372c9c6507f2618ff9948a67d.jpg, 0, 0, 1, 0
IMG_20220923_221113_jpg.rf.09e5a69d023bdd54b8ce4f32008ccdab.jpg, 0, 1, 0, 0
IMG_20220924_182848_jpg.rf.0a0397d757c56e65df35b465f7a4be57.jpg, 0, 0, 1, 0
IMG_20221108_101956_jpg.rf.09e85e0f60b779c4a8d2625e90484797.jpg, 0, 0, 0, 1
IMG_20220624_155734_jpg.rf.0a3630aa2707a58cd5ae589430514650.jpg, 0, 0, 0, 1
IMG_20221108_102015_jpg.rf.0a3f980dbb9d378d49a60312f592e937.jpg, 0, 0, 0, 1
IMG_20220924_175210_jpg.rf.0a1fccbb9b7fb5257c1e111a9680da80.jpg, 0, 0, 1, 0
IMG_20220925_135646_jpg.rf.09fbb768e92d308e7be41ea1d307feed.jpg, 0, 1, 0, 0
IMG_20221108_113250_jpg.rf.0a1f74fa9c6db0f95fdad2534e92e79a.jpg, 0, 0, 1, 0
IMG_20220709_181352_jpg.rf.0a4aeaaf81f20cb86071614d37fb59db.jpg, 0, 0, 1, 0
IMG_20220929_172633_1_jpg.rf.0a5540b147e1c9bf2302dfa5f06d6b65.jpg, 1, 0, 0, 0
IMG_20220924_195519_jpg.rf.0a4a10aec62d81ddf0773d025240e83c.jpg, 1, 0, 0, 0
IMG_20221108_102029_jpg.rf.0a419a2bff5033bd0c04a8b79d42f4d4.jpg, 0, 0, 0, 1
IMG_20220923_201206_jpg.rf.0a5e47c51474a6d2ad6975eade52ecb9.jpg, 0, 0, 1, 0
IMG_20220929_174404_jpg.rf.0a57c717b53f9dce444ba3e97fdd135d.jpg, 1, 0, 0, 0
IMG_20221108_093542_jpg.rf.0a66b52e429e661a5827bf195823d53d.jpg, 0, 0, 0, 1
IMG_20221108_090416_jpg.rf.0a8c6e3cc82ad343c660be7378290e1d.jpg, 0, 0, 0, 1
IMG_20220923_221246_jpg.rf.0abb2fec4a021d9035446e82c42bbdba.jpg, 0, 1, 0, 0
IMG_20220929_121314_jpg.rf.0ac8cb730d6376e7f2d412a09fc7b7d9.jpg, 1, 0, 0, 0
IMG_20220925_170504_jpg.rf.0a7cd19cb669d2d4a42a575e8918fb9d.jpg, 1, 0, 0, 0
IMG_20220923_222414_jpg.rf.0a93affdd3e5b613a4b4c3f0ac9480af.jpg, 0, 1, 0, 0
IMG_20220923_223905_jpg.rf.0ad99fe197beaa54fbda8b38c97c60c0.jpg, 0, 1, 0, 0
IMG_20221108_113728_jpg.rf.0ac59c45476d5cf3ad61becd176319f6.jpg, 0, 0, 1, 0
IMG_20220929_114232_jpg.rf.0acec919f769abdb4df67f0f6cd260e4.jpg, 0, 1, 0, 0
IMG_20220929_174802_jpg.rf.0ad15d08af6a544485dbed01ef842bb4.jpg, 1, 0, 0, 0
IMG_20220709_175413_jpg.rf.0aa874a6f3d1fc718124cd7cdb924c3f.jpg, 0, 0, 1, 0
IMG_20220929_173516_jpg.rf.0ab66b400f3d0ab07d8036eca2174226.jpg, 1, 0, 0, 0
IMG_20220925_151950_jpg.rf.0adce3581b9b8c81455e0b0f48a6aae8.jpg, 1, 0, 0, 0
IMG_20221108_092930_jpg.rf.0aceea51bf21d7b2cbe0e45a1d1793b8.jpg, 0, 0, 0, 1
IMG_20220925_173149_jpg.rf.0ac2cd89be29fb1bb69459a227b8fab5.jpg, 0, 1, 0, 0
IMG_20220923_201403_jpg.rf.0adc8e2983f0e347f90708ab17234f4d.jpg, 0, 0, 1, 0
